tau_d,tau_q,lambda,top_question,top_utility,top_venture
0.55,0.55,0.25,q3,0.6125,79.0
0.55,0.55,0.5,q3,0.42500000000000004,79.0
0.55,0.55,0.75,q3,0.23750000000000004,79.0
0.55,0.55,1.0,q3,0.050000000000000044,79.0
0.55,0.6,0.25,q3,0.6125,79.0
0.55,0.6,0.5,q3,0.42500000000000004,79.0
0.55,0.6,0.75,q3,0.23750000000000004,79.0
0.55,0.6,1.0,q3,0.050000000000000044,79.0
0.55,0.65,0.25,q3,0.6125,79.0
0.55,0.65,0.5,q3,0.42500000000000004,79.0
0.55,0.65,0.75,q3,0.23750000000000004,79.0
0.55,0.65,1.0,q3,0.050000000000000044,79.0
0.55,0.7,0.25,q3,0.6125,79.0
0.55,0.7,0.5,q3,0.42500000000000004,79.0
0.55,0.7,0.75,q3,0.23750000000000004,79.0
0.55,0.7,1.0,q3,0.050000000000000044,79.0
0.55,0.75,0.25,q3,0.6125,79.0
0.55,0.75,0.5,q3,0.42500000000000004,79.0
0.55,0.75,0.75,q3,0.23750000000000004,79.0
0.55,0.75,1.0,q3,0.050000000000000044,79.0
0.55,0.8,0.25,q3,0.6125,79.0
0.55,0.8,0.5,q3,0.42500000000000004,79.0
0.55,0.8,0.75,q3,0.23750000000000004,79.0
0.55,0.8,1.0,q3,0.050000000000000044,79.0
0.55,0.85,0.25,q3,0.6125,79.0
0.55,0.85,0.5,q3,0.42500000000000004,79.0
0.55,0.85,0.75,q3,0.23750000000000004,79.0
0.55,0.85,1.0,q3,0.050000000000000044,79.0
0.6,0.55,0.25,q3,0.6125,79.0
0.6,0.55,0.5,q3,0.42500000000000004,79.0
0.6,0.55,0.75,q3,0.23750000000000004,79.0
0.6,0.55,1.0,q3,0.050000000000000044,79.0
0.6,0.6,0.25,q3,0.6125,79.0
0.6,0.6,0.5,q3,0.42500000000000004,79.0
0.6,0.6,0.75,q3,0.23750000000000004,79.0
0.6,0.6,1.0,q3,0.050000000000000044,79.0
0.6,0.65,0.25,q3,0.6125,79.0
0.6,0.65,0.5,q3,0.42500000000000004,79.0
0.6,0.65,0.75,q3,0.23750000000000004,79.0
0.6,0.65,1.0,q3,0.050000000000000044,79.0
0.6,0.7,0.25,q3,0.6125,79.0
0.6,0.7,0.5,q3,0.42500000000000004,79.0
0.6,0.7,0.75,q3,0.23750000000000004,79.0
0.6,0.7,1.0,q3,0.050000000000000044,79.0
0.6,0.75,0.25,q3,0.6125,79.0
0.6,0.75,0.5,q3,0.42500000000000004,79.0
0.6,0.75,0.75,q3,0.23750000000000004,79.0
0.6,0.75,1.0,q3,0.050000000000000044,79.0
0.6,0.8,0.25,q3,0.6125,79.0
0.6,0.8,0.5,q3,0.42500000000000004,79.0
0.6,0.8,0.75,q3,0.23750000000000004,79.0
0.6,0.8,1.0,q3,0.050000000000000044,79.0
0.6,0.85,0.25,q3,0.6125,79.0
0.6,0.85,0.5,q3,0.42500000000000004,79.0
0.6,0.85,0.75,q3,0.23750000000000004,79.0
0.6,0.85,1.0,q3,0.050000000000000044,79.0
0.65,0.55,0.25,q3,0.6125,79.0
0.65,0.55,0.5,q3,0.42500000000000004,79.0
0.65,0.55,0.75,q3,0.23750000000000004,79.0
0.65,0.55,1.0,q3,0.050000000000000044,79.0
0.65,0.6,0.25,q3,0.6125,79.0
0.65,0.6,0.5,q3,0.42500000000000004,79.0
0.65,0.6,0.75,q3,0.23750000000000004,79.0
0.65,0.6,1.0,q3,0.050000000000000044,79.0
0.65,0.65,0.25,q3,0.6125,79.0
0.65,0.65,0.5,q3,0.42500000000000004,79.0
0.65,0.65,0.75,q3,0.23750000000000004,79.0
0.65,0.65,1.0,q3,0.050000000000000044,79.0
0.65,0.7,0.25,q3,0.6125,79.0
0.65,0.7,0.5,q3,0.42500000000000004,79.0
0.65,0.7,0.75,q3,0.23750000000000004,79.0
0.65,0.7,1.0,q3,0.050000000000000044,79.0
0.65,0.75,0.25,q3,0.6125,79.0
0.65,0.75,0.5,q3,0.42500000000000004,79.0
0.65,0.75,0.75,q3,0.23750000000000004,79.0
0.65,0.75,1.0,q3,0.050000000000000044,79.0
0.65,0.8,0.25,q3,0.6125,79.0
0.65,0.8,0.5,q3,0.42500000000000004,79.0
0.65,0.8,0.75,q3,0.23750000000000004,79.0
0.65,0.8,1.0,q3,0.050000000000000044,79.0
0.65,0.85,0.25,q3,0.6125,79.0
0.65,0.85,0.5,q3,0.42500000000000004,79.0
0.65,0.85,0.75,q3,0.23750000000000004,79.0
0.65,0.85,1.0,q3,0.050000000000000044,79.0
0.7,0.55,0.25,q3,0.6125,79.0
0.7,0.55,0.5,q3,0.42500000000000004,79.0
0.7,0.55,0.75,q3,0.23750000000000004,79.0
0.7,0.55,1.0,q3,0.050000000000000044,79.0
0.7,0.6,0.25,q3,0.6125,79.0
0.7,0.6,0.5,q3,0.42500000000000004,79.0
0.7,0.6,0.75,q3,0.23750000000000004,79.0
0.7,0.6,1.0,q3,0.050000000000000044,79.0
0.7,0.65,0.25,q3,0.6125,79.0
0.7,0.65,0.5,q3,0.42500000000000004,79.0
0.7,0.65,0.75,q3,0.23750000000000004,79.0
0.7,0.65,1.0,q3,0.050000000000000044,79.0
0.7,0.7,0.25,q3,0.6125,79.0
0.7,0.7,0.5,q3,0.42500000000000004,79.0
0.7,0.7,0.75,q3,0.23750000000000004,79.0
0.7,0.7,1.0,q3,0.050000000000000044,79.0
0.7,0.75,0.25,q3,0.6125,79.0
0.7,0.75,0.5,q3,0.42500000000000004,79.0
0.7,0.75,0.75,q3,0.23750000000000004,79.0
0.7,0.75,1.0,q3,0.050000000000000044,79.0
0.7,0.8,0.25,q3,0.6125,79.0
0.7,0.8,0.5,q3,0.42500000000000004,79.0
0.7,0.8,0.75,q3,0.23750000000000004,79.0
0.7,0.8,1.0,q3,0.050000000000000044,79.0
0.7,0.85,0.25,q3,0.6125,79.0
0.7,0.85,0.5,q3,0.42500000000000004,79.0
0.7,0.85,0.75,q3,0.23750000000000004,79.0
0.7,0.85,1.0,q3,0.050000000000000044,79.0
0.75,0.55,0.25,q3,0.6125,79.0
0.75,0.55,0.5,q3,0.42500000000000004,79.0
0.75,0.55,0.75,q3,0.23750000000000004,79.0
0.75,0.55,1.0,q3,0.050000000000000044,79.0
0.75,0.6,0.25,q3,0.6125,79.0
0.75,0.6,0.5,q3,0.42500000000000004,79.0
0.75,0.6,0.75,q3,0.23750000000000004,79.0
0.75,0.6,1.0,q3,0.050000000000000044,79.0
0.75,0.65,0.25,q3,0.6125,79.0
0.75,0.65,0.5,q3,0.42500000000000004,79.0
0.75,0.65,0.75,q3,0.23750000000000004,79.0
0.75,0.65,1.0,q3,0.050000000000000044,79.0
0.75,0.7,0.25,q3,0.6125,79.0
0.75,0.7,0.5,q3,0.42500000000000004,79.0
0.75,0.7,0.75,q3,0.23750000000000004,79.0
0.75,0.7,1.0,q3,0.050000000000000044,79.0
0.75,0.75,0.25,q3,0.6125,79.0
0.75,0.75,0.5,q3,0.42500000000000004,79.0
0.75,0.75,0.75,q3,0.23750000000000004,79.0
0.75,0.75,1.0,q3,0.050000000000000044,79.0
0.75,0.8,0.25,q3,0.6125,79.0
0.75,0.8,0.5,q3,0.42500000000000004,79.0
0.75,0.8,0.75,q3,0.23750000000000004,79.0
0.75,0.8,1.0,q3,0.050000000000000044,79.0
0.75,0.85,0.25,q3,0.6125,79.0
0.75,0.85,0.5,q3,0.42500000000000004,79.0
0.75,0.85,0.75,q3,0.23750000000000004,79.0
0.75,0.85,1.0,q3,0.050000000000000044,79.0
0.8,0.55,0.25,q3,0.6125,79.0
0.8,0.55,0.5,q3,0.42500000000000004,79.0
0.8,0.55,0.75,q3,0.23750000000000004,79.0
0.8,0.55,1.0,q3,0.050000000000000044,79.0
0.8,0.6,0.25,q3,0.6125,79.0
0.8,0.6,0.5,q3,0.42500000000000004,79.0
0.8,0.6,0.75,q3,0.23750000000000004,79.0
0.8,0.6,1.0,q3,0.050000000000000044,79.0
0.8,0.65,0.25,q3,0.6125,79.0
0.8,0.65,0.5,q3,0.42500000000000004,79.0
0.8,0.65,0.75,q3,0.23750000000000004,79.0
0.8,0.65,1.0,q3,0.050000000000000044,79.0
0.8,0.7,0.25,q3,0.6125,79.0
0.8,0.7,0.5,q3,0.42500000000000004,79.0
0.8,0.7,0.75,q3,0.23750000000000004,79.0
0.8,0.7,1.0,q3,0.050000000000000044,79.0
0.8,0.75,0.25,q3,0.6125,79.0
0.8,0.75,0.5,q3,0.42500000000000004,79.0
0.8,0.75,0.75,q3,0.23750000000000004,79.0
0.8,0.75,1.0,q3,0.050000000000000044,79.0
0.8,0.8,0.25,q3,0.6125,79.0
0.8,0.8,0.5,q3,0.42500000000000004,79.0
0.8,0.8,0.75,q3,0.23750000000000004,79.0
0.8,0.8,1.0,q3,0.050000000000000044,79.0
0.8,0.85,0.25,q3,0.6125,79.0
0.8,0.85,0.5,q3,0.42500000000000004,79.0
0.8,0.85,0.75,q3,0.23750000000000004,79.0
0.8,0.85,1.0,q3,0.050000000000000044,79.0
0.85,0.55,0.25,q3,0.6125,79.0
0.85,0.55,0.5,q3,0.42500000000000004,79.0
0.85,0.55,0.75,q3,0.23750000000000004,79.0
0.85,0.55,1.0,q3,0.050000000000000044,79.0
0.85,0.6,0.25,q3,0.6125,79.0
0.85,0.6,0.5,q3,0.42500000000000004,79.0
0.85,0.6,0.75,q3,0.23750000000000004,79.0
0.85,0.6,1.0,q3,0.050000000000000044,79.0
0.85,0.65,0.25,q3,0.6125,79.0
0.85,0.65,0.5,q3,0.42500000000000004,79.0
0.85,0.65,0.75,q3,0.23750000000000004,79.0
0.85,0.65,1.0,q3,0.050000000000000044,79.0
0.85,0.7,0.25,q3,0.6125,79.0
